GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C02_001E,S1901_C02_001M,S1901_C03_001E,S1901_C03_001M,S1901_C04_001E,S1901_C04_001M,S1901_C01_002E,S1901_C01_002M,S1901_C02_002E,S1901_C02_002M,S1901_C03_002E,S1901_C03_002M,S1901_C04_002E,S1901_C04_002M,S1901_C01_003E,S1901_C01_003M,S1901_C02_003E,S1901_C02_003M,S1901_C03_003E,S1901_C03_003M,S1901_C04_003E,S1901_C04_003M,S1901_C01_004E,S1901_C01_004M,S1901_C02_004E,S1901_C02_004M,S1901_C03_004E,S1901_C03_004M,S1901_C04_004E,S1901_C04_004M,S1901_C01_005E,S1901_C01_005M,S1901_C02_005E,S1901_C02_005M,S1901_C03_005E,S1901_C03_005M,S1901_C04_005E,S1901_C04_005M,S1901_C01_006E,S1901_C01_006M,S1901_C02_006E,S1901_C02_006M,S1901_C03_006E,S1901_C03_006M,S1901_C04_006E,S1901_C04_006M,S1901_C01_007E,S1901_C01_007M,S1901_C02_007E,S1901_C02_007M,S1901_C03_007E,S1901_C03_007M,S1901_C04_007E,S1901_C04_007M,S1901_C01_008E,S1901_C01_008M,S1901_C02_008E,S1901_C02_008M,S1901_C03_008E,S1901_C03_008M,S1901_C04_008E,S1901_C04_008M,S1901_C01_009E,S1901_C01_009M,S1901_C02_009E,S1901_C02_009M,S1901_C03_009E,S1901_C03_009M,S1901_C04_009E,S1901_C04_009M,S1901_C01_010E,S1901_C01_010M,S1901_C02_010E,S1901_C02_010M,S1901_C03_010E,S1901_C03_010M,S1901_C04_010E,S1901_C04_010M,S1901_C01_011E,S1901_C01_011M,S1901_C02_011E,S1901_C02_011M,S1901_C03_011E,S1901_C03_011M,S1901_C04_011E,S1901_C04_011M,S1901_C01_012E,S1901_C01_012M,S1901_C02_012E,S1901_C02_012M,S1901_C03_012E,S1901_C03_012M,S1901_C04_012E,S1901_C04_012M,S1901_C01_013E,S1901_C01_013M,S1901_C02_013E,S1901_C02_013M,S1901_C03_013E,S1901_C03_013M,S1901_C04_013E,S1901_C04_013M,S1901_C01_014E,S1901_C01_014M,S1901_C02_014E,S1901_C02_014M,S1901_C03_014E,S1901_C03_014M,S1901_C04_014E,S1901_C04_014M,S1901_C01_015E,S1901_C01_015M,S1901_C02_015E,S1901_C02_015M,S1901_C03_015E,S1901_C03_015M,S1901_C04_015E,S1901_C04_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_016E,S1901_C02_016M,S1901_C03_016E,S1901_C03_016M,S1901_C04_016E,S1901_C04_016M
310M400US13180,"Beaver Dam, WI Micro Area",35221,877,23524,1230,N,N,11697,1124,4.4,1.6,1.5,0.9,N,N,11.1,4.5,3.7,1.3,1.2,0.7,N,N,9.6,3.7,8.6,2.2,6.2,2.3,N,N,14.2,5.6,9.2,1.8,6.7,1.8,N,N,14.4,4,14.9,2.8,15.7,3.5,N,N,15.5,4.8,17.8,2.4,19,3.4,N,N,17.1,4.2,20.4,2.3,22.4,2.8,N,N,10.7,3.2,14.9,1.9,19.2,2.6,N,N,6.2,3.3,3.2,0.9,4.4,1.3,N,N,0.2,0.3,2.9,1,3.8,1.5,N,N,1.1,0.9,63077,5268,74524,4546,81926,3027,35799,5751,75589,5260,88437,7732,N,N,45121,3749,37.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),37.1,(X)
310M400US14540,"Bowling Green, KY Metro Area",67424,1997,42337,2247,29656,2202,25087,2193,7.9,1.9,4.7,1.7,0.2,0.3,14.7,4.6,6.9,1.8,4.2,2,1.7,1,14.1,4.4,10.5,2.5,9.2,2.4,6.5,2.1,14.3,5.1,10.5,2.1,8.7,2.7,5.7,2.1,13.7,3.7,12.8,2,11.9,2.6,10.2,2.7,13.7,3.3,19.1,2.4,19.1,3.2,20.9,3.7,15.7,3.7,14.4,2.2,18.9,3.2,22.8,4.1,6.8,3.3,12.6,2.2,16.3,3,22.4,4,4.8,2.7,2.8,1.1,3.9,1.5,5.3,2,1.1,1.5,2.6,0.8,3.2,1.4,4.2,1.8,1.1,1.3,51365,2820,62185,6017,80089,3550,30282,5265,66125,5247,77692,8023,94781,10622,41955,4966,27.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),24,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.1,(X)
310M400US16180,"Carson City, NV Metro Area",23099,568,14933,1165,N,N,8166,1088,3.8,2.1,0.9,1,N,N,9.1,5.2,6.2,2,2.2,1.8,N,N,13.5,5.4,7.4,2.2,4.3,2.4,N,N,14.3,4.8,8.6,2.8,7.6,3.6,N,N,12.4,5.4,15.6,3.6,17.5,5,N,N,15,5.6,19.7,3.7,18.9,4.7,N,N,19.5,6.9,17.5,3.9,20.8,5.6,N,N,9.3,4,11.7,2.9,15.8,4.1,N,N,4.3,3,4.1,2.1,4.5,2.1,N,N,0.9,1.3,5.4,2,7.5,3,N,N,1.7,1.4,56160,4367,72553,13351,82396,7254,36085,11554,83642,11862,100262,15854,N,N,45271,5546,37.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),38.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X)
310M400US17980,"Columbus, GA-AL Metro Area",114607,2743,72901,2902,46496,2962,41706,2606,11.8,1.5,7.2,1.6,1.5,1,20.5,3.3,5.7,1.2,2.8,1,1.6,0.8,10.9,3,10.1,1.8,8.6,1.8,4.9,1.7,13.1,3.1,10,1.7,9.4,2,5.8,1.7,12.3,2.9,12.4,1.9,12,2,10,2.3,13.1,3.6,20,2.1,19.8,2.4,21.1,2.8,19,3.5,12.4,2,16.5,2.8,20.2,3.8,6,2.1,11.2,1.7,14.8,2.5,21.8,3.7,3.9,1.4,3.4,0.9,4.9,1.3,6.8,2.1,0.6,0.8,2.8,0.7,4.1,1,6.3,1.6,0.6,0.5,49731,4120,62348,4053,81191,4645,28909,2707,62902,3239,76512,4437,N,N,37971,2874,42.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),42.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),42,(X)
310M400US21340,"El Paso, TX Metro Area",271122,3812,190884,4540,124390,4410,80238,3790,9.5,1,5.9,1.1,2.3,0.7,19.7,2.7,6.3,0.8,4.2,0.9,3.6,0.9,11.2,2.1,14,1.2,12.4,1.5,9.2,1.4,18.9,2.6,11.8,1.1,13.4,1.3,11.8,1.6,8.5,1.8,14.1,1.2,15,1.6,14.9,1.8,12,2,17.6,1.4,18.8,1.6,20.1,2,14.7,2.6,9.7,1.2,10.7,1.5,12.2,1.8,6.8,1.5,10.5,1.1,11.8,1.3,14.8,1.7,5.4,1.5,3.9,0.8,4.8,1,6.8,1.5,1.5,1,2.6,0.5,3,0.6,4.2,0.9,1.4,0.7,43862,2029,49257,1849,59054,3005,25219,2703,61570,2289,68445,3036,81054,4300,41480,3559,30.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.3,(X)
310M400US22140,"Farmington, NM Metro Area",43707,1245,29548,1545,19252,1717,14159,1603,11.4,2.3,8.5,2.6,4.1,2.3,18.8,4.5,6.2,1.9,5,2.1,3.9,2.6,8.9,3.3,11.4,2.5,10,2.7,4.9,2,15.2,5.1,10.9,2.2,10.5,2.7,9.7,3,12.6,4.8,13.5,2.8,14.2,3.3,13.2,4.2,12,4.3,17.5,2.4,17.5,3,17.5,3.5,18.6,6,11.9,2,13.8,2.5,17.7,3.4,5.4,2.9,11.7,2.2,15.3,2.8,21.3,3.3,3,2,3,1.2,2.9,1.3,3.9,1.9,3.6,2.4,2.4,0.9,2.5,1.2,3.8,1.8,2,1.7,44841,4446,51806,3552,68941,7740,30354,6073,59736,3241,64665,4184,N,N,45562,5973,32.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),25.3,(X)
310M400US22840,"Fort Payne, AL Micro Area",26462,1458,19148,1468,N,N,7314,1254,10.3,3.3,6,3.3,N,N,22.9,8.2,8.1,2.8,3.5,2.3,N,N,20.3,8.2,14.8,3.9,13.5,5.3,N,N,18.9,7.2,14.8,3.7,14.7,5,N,N,16.2,7.6,11.8,3.1,11.8,3.7,N,N,11.9,5.3,15.7,3.2,19.3,4.1,N,N,4.7,3.5,11.1,3.4,13.6,4.6,N,N,2.6,2.9,8.2,2.6,10.5,3.4,N,N,2.3,2.8,2.2,1.5,3,2.1,N,N,0.1,0.2,3,1.5,4.2,2.1,N,N,0,2.3,36998,4416,50728,8376,61186,7869,18606,6038,57354,6313,69195,8354,N,N,24717,3853,38.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),40,(X)
310M400US30980,"Longview, TX Metro Area",76416,2092,52574,2605,39291,2678,23842,2300,7.6,2,4.1,1.7,0.9,0.6,16.2,4.8,4.7,1.5,2.6,1.5,2.5,1.7,10,3.5,10.3,2,6.1,1.8,5.3,1.8,19.9,4.9,11.5,2.1,9.8,2.4,6.6,2.4,15.4,4.4,14.5,1.9,15.8,2.4,13,2.6,10.9,3.6,16.6,2,18.5,2.8,19.3,3.1,12.9,3.3,12.4,2,14.3,2.6,17.8,3.4,7.4,3.3,14.6,2.6,17.9,3.3,21.5,4.1,6.1,3.4,3.9,1.1,5.5,1.6,6.2,1.9,0.6,0.6,3.9,1.1,5.3,1.5,7,1.9,0.4,0.6,51296,3332,65205,7045,78227,4975,27798,4229,71230,4655,84944,6272,N,N,39036,4626,31.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.6,(X)
310M400US31540,"Madison, WI Metro Area",275594,2553,160006,3480,131076,3791,115588,3308,4.5,0.7,2.1,0.7,0.6,0.3,8.5,1.4,2.4,0.5,0.6,0.2,0.3,0.2,5,1.1,6.9,0.7,3,0.7,2,0.5,12.6,1.4,7.6,0.8,5,0.9,3.4,0.8,11.7,1.6,12.9,0.9,9.2,0.9,7.2,1,18.6,1.9,19,1,18,1.1,15.7,1.1,20.6,1.7,13.3,1,15.6,1.4,16.7,1.5,9.3,1.2,18.6,1.1,25.1,1.4,29,1.7,8.5,1.3,7.1,0.7,10.2,1.1,12.2,1.3,2.7,0.7,7.7,0.6,11.2,1,13.1,1.2,2.6,0.8,70463,1313,94685,2469,105028,2569,44851,1713,93564,2097,116697,3497,128815,3955,58945,3281,25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),25.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.9,(X)
310M400US32020,"Marion, OH Micro Area",24205,1039,14270,1305,N,N,9935,1347,10.3,3,7.7,4,N,N,14.4,5,5.8,2,2.8,1.8,N,N,10,4.4,12.6,3.5,7.7,2.9,N,N,21.3,6.8,10.6,2.8,7.1,3.1,N,N,15.5,6.1,17.9,3.9,19.8,5.4,N,N,15.4,5.7,18.1,4,20.5,6.1,N,N,13.8,5.5,12.2,3,15.7,4,N,N,6.6,4.3,7.5,2.5,10.8,3.9,N,N,2.9,2.2,3.7,1.7,5.6,2.7,N,N,0,1.6,1.4,1.3,2.3,2.2,N,N,0,1.6,43008,3378,56014,8777,68606,9686,27182,4992,54542,4624,67945,6838,N,N,33535,3608,34.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),37.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30,(X)
