GEO_ID,NAME,Median_value
0400000US02,Alaska,292600
0400000US23,Maine,208300
0400000US37,North Carolina,199600
0400000US29,Missouri,170800
0400000US42,Pennsylvania,202000
0400000US26,Michigan,175400
0400000US31,Nebraska,172500
0400000US41,Oregon,355800
0400000US56,Wyoming,240100
0400000US06,California,566100
0400000US28,Mississippi,151200
0400000US09,Connecticut,281300
0400000US48,Texas,216700
0400000US16,Idaho,243800
0400000US24,Maryland,331600
0400000US35,New Mexico,193300
0400000US01,Alabama,164200
0400000US47,Tennessee,192600
0400000US50,Vermont,239000
0400000US32,Nevada,301100
0400000US54,West Virginia,147100
0400000US40,Oklahoma,156000
0400000US55,Wisconsin,195900
0400000US72,Puerto Rico,130600
0400000US20,Kansas,173800
0400000US51,Virginia,302700
0400000US38,North Dakota,226000
0400000US34,New Jersey,352700
0400000US39,Ohio,160800
0400000US45,South Carolina,194100
0400000US13,Georgia,208800
0400000US08,Colorado,383400
0400000US15,Hawaii,643100
0400000US46,South Dakota,188800
0400000US18,Indiana,153800
0400000US21,Kentucky,162800
0400000US22,Louisiana,184900
0400000US53,Washington,385000
0400000US17,Illinois,219400
0400000US19,Iowa,160700
0400000US33,New Hampshire,278600
0400000US44,Rhode Island,274200
0400000US05,Arkansas,148300
0400000US10,Delaware,267000
0400000US27,Minnesota,244800
0400000US30,Montana,262400
0400000US04,Arizona,256600
0400000US12,Florida,247000
0400000US25,Massachusetts,406900
0400000US11,District of Columbia,627000
0400000US49,Utah,310000
0400000US36,New York,341900
