GEO_ID,Total_Workers,Male_Workers,Female_Workers,Private_Auto,Public_Transport,Walks,Bike,Other,Works_Home,Median_Income,Mean_Income,Unemployment_Rate,City_Code,Population,City,State_Abbr,City_State,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino,Median_value,State
310M400US13180,46271,25412,20859,92.1,0.1,3.6,0,0.3,3.8,63077,75589,3.2,"Beaver Dam, WI Micro Area",87847,Beaver Dam,WI,"Beaver Dam,WI",64427,1789,3824,27004,13786,7382,7782,2860,58814,10642,81092,2812,292,789,1754,4301,174700,Wisconsin
310M400US31540,371828,192206,179622,82.7,3.9,5.5,2.2,1.2,4.6,70463,93564,1.8,"Madison, WI Metro Area",660422,Madison,WI,"Madison,WI",443182,8301,14860,92147,79935,45190,120130,82619,420021,202749,568227,29537,2656,33168,5674,38390,263300,Wisconsin
310M400US20740,85987,43816,42171,88.8,0.8,1.8,0.7,0.5,7.2,60081,73481,3.3,"Eau Claire, WI Metro Area",168669,Eau Claire,WI,"Eau Claire,WI",110707,2879,4124,33399,22155,17945,20400,9805,103704,30205,157055,1267,182,5609,174,3844,170800,Wisconsin
310M400US33340,787638,401110,386528,89,2.6,2.3,0.5,0.6,5,60643,84831,3.7,"Milwaukee-Waukesha-West Allis, WI Metro Area",1576113,Milwaukee-Waukesha-West Allis,WI,"Milwaukee-Waukesha-West Allis,WI",1073519,30991,59912,287017,214398,94651,242429,144121,982616,386550,1132203,258372,6184,61615,69832,171951,227800,Wisconsin
310M400US36780,87172,44560,42612,93.3,0.5,1.8,1.1,0.7,2.5,56589,75157,3.8,"Oshkosh-Neenah, WI Metro Area",171020,Oshkosh-Neenah,WI,"Oshkosh-Neenah,WI",115949,3137,6017,37774,25512,14332,21212,7965,106795,29177,156662,3742,966,4991,813,7183,150300,Wisconsin
310M400US31940,29219,15619,13600,92.4,0.1,3.6,0.3,0.8,2.9,48215,60186,3.2,"Marinette, WI-MI Micro Area",63417,Marinette,WI,"Marinette,WI",47754,1286,2911,21541,9404,4654,5489,2469,43557,7958,60579,318,780,171,134,1203,125500,Wisconsin
310M400US48020,47460,24537,22923,90.9,0.1,3.7,0.2,0.8,4.3,65651,81990,3,"Watertown-Fort Atkinson, WI Micro Area",85129,Watertown-Fort Atkinson,WI,"Watertown-Fort Atkinson,WI",59150,1431,2980,20907,11568,5502,11736,5026,54739,16762,79602,807,37,763,1931,6132,207300,Wisconsin
310M400US31820,39233,22100,17133,91.9,0.1,2.3,0.8,0.7,4.1,54393,66728,1.3,"Manitowoc, WI Micro Area",79074,Manitowoc,WI,"Manitowoc,WI",57498,1806,3289,21461,12054,6327,9192,3369,52403,12561,74237,996,430,2187,106,3287,140700,Wisconsin
310M400US48140,70129,37356,32773,90.3,0.5,2.3,0.1,1.4,5.4,62890,84462,2.5,"Wausau, WI Metro Area",135428,Wausau,WI,"Wausau,WI",93602,3139,4123,30777,15474,14155,17474,8460,86340,25934,121953,841,183,8053,1110,3815,166600,Wisconsin
310M400US24580,165109,86936,78173,92.8,0.5,1.8,0.2,0.4,4.3,61400,79609,2.2,"Green Bay, WI Metro Area",321591,Green Bay,WI,"Green Bay,WI",218053,7153,9191,71297,43602,27997,41588,17225,201709,58813,284270,7199,6511,8557,5127,24404,183700,Wisconsin
