GEO_ID,Total_Workers,Male_Workers,Female_Workers,Private_Auto,Public_Transport,Walks,Bike,Other,Works_Home,Median_Income,Mean_Income,Unemployment_Rate,State,Population,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino,Median_value
0400000US02,355403,195755,159648,80.3,1.2,7.8,1.2,4.2,5.3,74346,96080,6.8,Alaska,737438,485353,12023,20421,137293,129250,39938,89635,56793,452909,146428,474555,25197,111371,46381,9780,53069,292600
0400000US23,665930,339736,326194,87.7,0.6,4.1,0.5,1.2,6.0,55602,73935,3.5,Maine,1338404,983382,25361,43100,309259,200338,95274,197489,112561,914921,310050,1261453,18954,8566,15683,3264,22411,208300
0400000US37,4858875,2547862,2311013,90.0,1.0,1.8,0.2,1.1,6.0,53855,76693,5.0,North Carolina,10383620,7102144,305097,529783,1802360,1497087,701016,1454678,812123,6267264,2266801,7098569,2222533,120845,306682,326630,995529,199600
0400000US29,2890814,1492587,1398227,90.7,1.3,2.0,0.2,1.0,4.8,54478,75013,4.2,Missouri,6126452,4182787,119915,278462,1270247,937269,341000,754906,480988,3784410,1235894,5035197,704327,27705,121417,56557,253474,170800
0400000US42,6136003,3184199,2951804,84.0,5.8,3.5,0.4,1.1,5.1,60905,83765,4.9,Pennsylvania,12807060,8994627,279306,532792,3113998,1432404,773645,1723226,1139256,8182529,2862482,10256084,1428406,21418,455027,307572,974763,202000
0400000US26,4615506,2425592,2189914,90.9,1.4,2.3,0.4,0.9,4.1,56697,77682,5.3,Michigan,9995915,6869846,189891,422533,1972855,1594947,657727,1239251,792642,6257422,2031893,7825285,1376751,53012,325828,118467,517381,175400
0400000US31,986223,521078,465145,90.8,0.6,2.5,0.3,0.8,5.1,59566,78793,3.5,Nebraska,1929268,1266440,47660,60686,326400,283318,137646,269675,141055,1158094,410730,1666990,91221,18555,45779,46473,214483,172500
0400000US41,1994598,1056863,937735,81.2,4.2,3.9,2.0,1.2,7.5,63426,85235,5.0,Oregon,4190713,2952380,106364,173561,655811,744593,269508,621190,381353,2672455,1002543,3514983,82046,49051,190680,137973,556397,355800
0400000US56,284573,156004,128569,85.9,1.2,4.3,1.1,1.2,6.2,61584,81935,3.9,Wyoming,577737,393136,7237,19072,113351,103804,44089,66449,39134,366827,105583,528453,3667,16185,5807,8798,57895,240100
0400000US06,18530052,10091844,8438208,83.8,4.9,2.6,0.9,1.7,6.0,75277,107384,5.5,California,39557045,26815644,2396226,1958791,5559362,5589646,2140543,5704852,3466224,22460627,9171076,23535388,2283850,302792,5821585,5453229,15540142,566100
0400000US28,1217480,627221,590259,94.4,0.3,1.4,0.1,1.2,2.6,44717,61944,7.1,Mississippi,2986530,1977283,100599,187996,589363,440256,200375,284701,173993,1688688,458694,1735455,1135599,13234,26142,29778,87126,151200
0400000US09,1793019,927877,865142,86.1,4.4,2.6,0.2,1.0,5.7,76348,111303,5.5,Connecticut,3572665,2493396,97719,128535,669967,413974,195971,544028,443202,2267142,987230,2688136,391552,9507,165855,195208,589810,281300
0400000US48,13337175,7286970,6050205,90.5,1.3,1.5,0.2,1.3,5.2,60629,85780,4.9,Texas,28701845,18477097,1478739,1485230,4627856,3949496,1334999,3627047,1973730,15513128,5600777,21099066,3527027,149997,1430857,1709445,11368844,216700
0400000US16,794523,432902,361621,88.7,0.8,2.5,0.8,1.1,6.2,55583,73369,4.0,Idaho,1754208,1143747,40692,63176,318218,292076,113323,213462,102800,1039879,316262,1576846,12075,23026,27026,59217,222464,243800
0400000US24,3066434,1565849,1500585,83.2,7.9,2.1,0.3,1.3,5.2,83242,109774,4.9,Maryland,6042718,4167339,155580,240551,1009495,779231,281787,911761,788934,3771208,1700695,3305047,1810885,13433,378985,304042,628435,331600
0400000US35,875031,461412,413619,90.5,1.1,1.8,0.6,1.0,5.1,47169,66752,6.1,New Mexico,2095428,1416481,84348,122340,370023,334577,113481,221735,169977,1209793,391712,1599938,46064,200659,34155,144961,1029229,193300
0400000US01,2068020,1081726,986294,94.2,0.3,1.1,0.1,0.9,3.5,49861,69091,5.6,Alabama,4887871,3337464,131592,316587,1026976,721987,288285,536086,315951,2889285,852037,3306838,1307040,22063,65095,84027,211485,164200
0400000US47,3092819,1618767,1474052,92.0,0.6,1.3,0.1,1.2,4.7,52375,73456,5.5,Tennessee,6770010,4640823,206601,358348,1477132,975251,348066,801616,473809,4075874,1275425,5235588,1137801,19136,119046,101153,372901,192600
0400000US50,324340,161886,162454,84.4,0.9,5.2,1.3,0.8,7.5,60782,79514,3.8,Vermont,626299,445824,8286,20617,127349,78850,38133,103068,69521,416921,172589,589337,7621,1743,11859,2815,12450,239000
0400000US32,1426768,765857,660911,88.7,2.9,1.8,0.2,2.2,4.2,58646,81039,5.6,Nevada,3034392,2096574,110045,164010,581662,542405,176618,339675,182159,1822519,521834,1924976,280385,44666,250137,358786,881145,301100
0400000US54,727427,383627,343800,91.8,0.9,2.6,0.1,1.1,3.4,44097,61707,5.8,West Virginia,1805832,1280781,50504,106081,508339,246501,96253,163614,109489,1124196,273103,1679773,68679,2629,13459,6430,25569,147100
0400000US40,1777259,949952,827307,92.0,0.5,2.0,0.2,1.2,4.1,51924,71632,4.4,Oklahoma,3943079,2607613,98813,202447,816934,613877,207381,434570,233591,2306353,668161,2845906,287680,307183,84694,110013,429079,156000
