State,avg_high,avg_low,avg_prec,Month
Alabama,57,36,4.65,Jan
Alabama,62,39,5.28,Feb
Alabama,70,45,5.94,Mar
Alabama,77,52,4.02,Apr
Alabama,84,61,3.54,May
Alabama,90,68,4.06,Jun
Alabama,92,71,5.24,Jul
Alabama,92,71,3.98,Aug
Alabama,87,65,3.98,Sep
Alabama,78,53,2.91,Oct
Alabama,69,44,4.61,Nov
Alabama,60,37,4.84,Dec
Kentucky,40,21,3.15,Jan
Kentucky,45,23,3.07,Feb
Kentucky,55,31,4.06,Mar
Kentucky,66,39,3.66,Apr
Kentucky,75,49,4.61,May
Kentucky,83,59,4.41,Jun
Kentucky,87,63,4.17,Jul
Kentucky,86,62,3.58,Aug
Kentucky,79,55,3.15,Sep
Kentucky,68,42,2.68,Oct
Kentucky,55,34,3.35,Nov
Kentucky,44,26,3.7,Dec
North Dakota,23,2,0.43,Jan
North Dakota,28,8,0.51,Feb
North Dakota,40,19,0.87,Mar
North Dakota,57,31,1.26,Apr
North Dakota,68,43,2.4,May
North Dakota,77,52,3.19,Jun
North Dakota,85,57,2.87,Jul
North Dakota,83,56,2.28,Aug
North Dakota,72,45,1.57,Sep
North Dakota,58,32,1.26,Oct
North Dakota,40,19,0.71,Nov
North Dakota,26,6,0.47,Dec
Alaska,23,11,0.75,Jan
Alaska,27,14,0.71,Feb
Alaska,34,19,0.59,Mar
Alaska,44,29,0.47,Apr
Alaska,56,40,0.71,May
Alaska,63,48,0.98,Jun
Alaska,65,52,1.81,Jul
Alaska,64,50,3.27,Aug
Alaska,55,42,2.99,Sep
Alaska,40,29,2.05,Oct
Alaska,28,17,1.14,Nov
Alaska,25,13,1.1,Dec
Louisiana,62,45,5.12,Jan
Louisiana,65,48,5.28,Feb
Louisiana,72,53,4.49,Mar
Louisiana,78,60,4.57,Apr
Louisiana,85,68,4.57,May
Louisiana,89,74,7.91,Jun
Louisiana,91,75,5.98,Jul
Louisiana,91,75,6.1,Aug
Louisiana,87,72,5.12,Sep
Louisiana,80,63,3.54,Oct
Louisiana,72,53,4.49,Nov
Louisiana,64,47,5.28,Dec
Ohio,36,20,9.65,Jan
Ohio,40,24,6.97,Feb
Ohio,52,32,6.1,Mar
Ohio,63,41,3.23,Apr
Ohio,73,52,3.5,May
Ohio,82,61,3.98,Jun
Ohio,85,65,4.06,Jul
Ohio,84,63,3.11,Aug
Ohio,77,56,2.64,Sep
Ohio,65,44,1.65,Oct
Ohio,52,35,3.82,Nov
Ohio,41,26,7.4,Dec
Arizona,67,46,0.91,Jan
Arizona,71,49,0.91,Feb
Arizona,77,53,0.98,Mar
Arizona,85,60,0.28,Apr
Arizona,95,69,0.12,May
Arizona,104,78,0.04,Jun
Arizona,106,83,1.06,Jul
Arizona,104,83,0.98,Aug
Arizona,100,77,0.63,Sep
Arizona,89,65,0.59,Oct
Arizona,76,53,0.67,Nov
Arizona,66,45,0.87,Dec
Maine,28,11,2.6,Jan
Maine,32,15,2.44,Feb
Maine,40,23,3.39,Mar
Maine,53,35,3.78,Apr
Maine,65,45,3.7,May
Maine,74,54,3.54,Jun
Maine,79,60,3.43,Jul
Maine,78,58,3.31,Aug
Maine,70,51,3.74,Sep
Maine,57,40,4.37,Oct
Maine,45,31,4.37,Nov
Maine,33,19,3.23,Dec
Oklahoma,50,29,1.38,Jan
Oklahoma,55,33,1.57,Feb
Oklahoma,63,41,3.07,Mar
Oklahoma,72,50,3.07,Apr
Oklahoma,80,60,4.65,May
Oklahoma,88,68,4.92,Jun
Oklahoma,94,72,2.91,Jul
Oklahoma,93,71,3.27,Aug
Oklahoma,85,63,4.06,Sep
Oklahoma,73,52,3.7,Oct
Oklahoma,62,40,1.97,Nov
Oklahoma,51,31,1.89,Dec
Arkansas,51,32,3.54,Jan
Arkansas,55,35,3.66,Feb
Arkansas,64,43,4.65,Mar
Arkansas,73,51,5.12,Apr
Arkansas,81,61,4.84,May
