GEO_ID,NAME,DP05_0033E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0071E,,
id,Geographic Area Name,total population,white,black or african american,american indian and alaska native,asian,hispanic latino,,
310M400US10300,"Adrian, MI Micro Area",98266,92099,2261,525,479,8019,83076,103383
310M400US10460,"Alamogordo, NM Micro Area",66781,53505,2225,4380,751,25857,,86718
310M400US10780,"Alexandria, LA Metro Area",153044,100225,44196,1099,1353,5527,,152400
310M400US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5950828,3140829,2038334,24159,365643,646761,,6215726
310M400US12580,"Baltimore-Columbia-Towson, MD Metro Area",2802789,1662011,817688,5770,157866,169909,,2813244
310M400US13380,"Bellingham, WA Metro Area",225685,188397,2215,6013,10285,21469,,228379
310M400US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4875390,3663633,407229,10405,400556,562958,,5044781
310M400US14500,"Boulder, CO Metro Area",326078,286455,3185,1804,14360,45370,,351174
310M400US14580,"Bozeman, MT Micro Area",111876,105137,295,943,1970,4491,,112836
310M400US15940,"Canton-Massillon, OH Metro Area",398655,350338,27718,630,3951,8127,,390764
310M400US17060,"Chillicothe, OH Micro Area",76931,69435,4446,0,512,1017,,75410
310M400US17820,"Colorado Springs, CO Metro Area",738939,592194,46358,5891,20891,126403,,791737
310M400US18020,"Columbus, IN Metro Area",82753,70856,1319,0,6556,5732,,84463
310M400US18700,"Corvallis, OR Metro Area",92101,77312,1041,933,6924,7008,,93218
310M400US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",659605,533332,72111,2441,12926,91362,,712172
310M400US20020,"Dothan, AL Metro Area",148245,107663,37050,162,700,5123,,150698
310M400US21420,"Enid, OK Metro Area",60913,49496,1696,1298,669,7878,,61037
310M400US21660,"Eugene, OR Metro Area",379611,324162,3290,3998,10779,34712,,
310M400US21700,"Eureka-Arcata-Fortuna, CA Micro Area",136373,106163,1553,6438,4610,16155,,
310M400US22020,"Fargo, ND-MN Metro Area",245471,213859,14981,3546,7426,7955,,
310M400US22060,"Faribault-Northfield, MN Micro Area",66523,57152,3893,256,1653,5404,,
310M400US22100,"Farmington, MO Micro Area",66692,N,N,N,N,1092,,
310M400US24060,"Glenwood Springs, CO Micro Area",78170,N,N,N,N,18670,,
310M400US24420,"Grants Pass, OR Metro Area",87393,81035,330,526,1103,6657,,
310M400US26980,"Iowa City, IA Metro Area",173401,143774,10666,341,9427,10204,,
310M400US28140,"Kansas City, MO-KS Metro Area",2142419,1677330,262368,8229,59839,196100,,
310M400US28300,"Keene, NH Micro Area",76493,72081,537,313,1349,746,,
310M400US28420,"Kennewick-Richland, WA Metro Area",296224,232498,6306,2595,9013,95375,,
310M400US28740,"Kingston, NY Metro Area",178599,149143,10718,503,3026,18785,,
310M400US28940,"Knoxville, TN Metro Area",882598,788818,51331,2828,12386,34237,,
310M400US29380,"Lake City, FL Micro Area",70503,53675,11899,364,354,4487,,
310M400US29540,"Lancaster, PA Metro Area",543557,476288,24117,1484,12368,58761,,
310M400US30460,"Lexington-Fayette, KY Metro Area",516697,413994,56501,734,13313,31717,,
310M400US30940,"London, KY Micro Area",128214,124190,1133,559,251,644,,
310M400US31460,"Madera, CA Metro Area",157672,91440,5417,1510,3619,91939,,
310M400US31820,"Manitowoc, WI Micro Area",79074,74237,996,430,2187,3287,,
310M400US32900,"Merced, CA Metro Area",274765,157100,9118,2300,20204,165438,,
310M400US33660,"Mobile, AL Metro Area",413757,239651,150188,3056,8037,12648,,
310M400US34100,"Morristown, TN Metro Area",118581,110275,2711,453,1749,9824,,
310M400US34740,"Muskegon, MI Metro Area",173588,140769,23350,1822,1270,10081,,
310M400US34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",480891,399536,60470,4479,5644,27580,,
310M400US34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1932099,1486135,294180,5131,52604,143097,,
310M400US35260,"New Castle, PA Micro Area",86184,80253,3724,145,368,1316,,
310M400US36100,"Ocala, FL Metro Area",359977,294540,43923,1019,4898,49093,,
310M400US37140,"Paducah, KY-IL Micro Area",98658,85756,9464,354,649,2175,,
310M400US38460,"Plattsburgh, NY Micro Area",80695,73115,3605,54,962,3304,,
310M400US40060,"Richmond, VA Metro Area",1303621,800228,385132,4012,50234,85903,,
