GEO_ID,Area Name_x,Total_Population over 25 years old,Less than 9th Grade,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino
id,Geographic Area Name,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
310M400US13180,"Beaver Dam, WI Micro Area",64427,1789,1789,3824,27004,13786,7382,7782,2860,58814,10642,81092,2812,292,789,1754,4301
310M400US14540,"Bowling Green, KY Metro Area",112195,7114,7114,8666,35843,22109,10032,16960,11471,96415,28431,149969,10127,190,6158,2653,8200
310M400US16180,"Carson City, NV Metro Area",39809,2253,2253,2258,8575,12423,5367,6416,2517,35298,8933,45870,1007,1132,2237,4497,13595
310M400US17980,"Columbus, GA-AL Metro Area",201128,6307,6307,18897,57420,54769,17166,26193,20376,175924,46569,152723,127171,261,5662,5530,21714
310M400US21340,"El Paso, TX Metro Area",520631,71206,71206,43855,120158,121331,41831,80489,41761,405570,122250,659344,25630,3447,10997,118185,700697
310M400US22140,"Farmington, NM Metro Area",81649,3844,3844,8189,22134,24563,9678,7570,5671,69616,13241,66111,1074,50058,1492,2785,25663
310M400US22840,"Fort Payne, AL Micro Area",48169,6710,6710,4971,14333,9524,5471,3931,3229,36488,7160,60157,1335,868,173,7583,10595
310M400US30980,"Longview, TX Metro Area",144321,7261,7261,14883,47802,36632,12616,16823,8304,122177,25127,173143,38346,286,2190,1229,36880
310M400US31540,"Madison, WI Metro Area",443182,8301,8301,14860,92147,79935,45190,120130,82619,420021,202749,568227,29537,2656,33168,5674,38390
310M400US32020,"Marion, OH Micro Area",45697,1334,1334,3087,21790,10838,3504,3155,1989,41276,5144,58259,3627,239,459,358,1801
310M400US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",2466476,66557,66557,85938,516302,487262,259864,685966,364587,2313981,1050553,2845996,314994,22769,242873,73389,217078
310M400US33980,"Morehead City, NC Micro Area",52668,1357,1357,3536,13173,12035,7561,9482,5524,47775,15006,62764,3291,102,1092,42,2965
310M400US39020,"Portsmouth, OH Micro Area",52325,1699,1699,5625,23493,9620,3954,4771,3163,45001,7934,N,N,N,N,N,938
310M400US40080,"Richmond-Berea, KY Micro Area",68993,3395,3395,5069,21699,13125,6210,11036,8459,60529,19495,100488,3984,164,958,811,2525
310M400US40340,"Rochester, MN Metro Area",149921,3949,3949,5445,34777,26663,20483,34538,24066,140527,58604,191048,10168,501,9686,3312,9920
310M400US40420,"Rockford, IL Metro Area",229494,10237,10237,17038,75967,54165,19816,31930,20341,202219,52271,273713,37746,462,9233,5944,49276
310M400US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1390276,84780,84780,66731,196184,205192,102509,389587,345293,1238765,734880,912089,49738,9161,723157,194539,527780
310M400US42700,"Sebring, FL Metro Area",79659,4241,4241,6416,30499,17476,7331,8725,4971,69002,13696,84051,10117,0,921,7747,21938
310M400US46660,"Valdosta, GA Metro Area",89489,2505,2505,10723,30192,19584,8174,11199,7112,76261,18311,85652,49843,406,1882,3971,9481
310M400US48900,"Wilmington, NC Metro Area",203658,5071,5071,10780,43703,46017,20444,53011,24632,187807,77643,236582,41532,571,3763,5547,17629
310M400US49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",384312,10775,10775,27489,155544,73630,31682,54490,30702,346048,85192,457985,55632,925,4713,3676,20171
310M400US10540,"Albany, OR Metro Area",89133,3763,3763,7214,25054,25851,7879,12876,6496,78156,19372,110981,858,716,1116,6484,11838
310M400US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",587624,21737,21737,35182,204774,98527,54246,107637,65521,530705,173158,701149,50234,2340,25127,33704,149261
310M400US12940,"Baton Rouge, LA Metro Area",546791,21014,21014,43602,173114,118801,34030,101140,55090,482175,156230,486471,292933,1256,15762,13667,33707
310M400US13740,"Billings, MT Metro Area",117864,1297,1297,3575,34429,29591,10136,27603,11233,112992,38836,155187,845,8000,1019,1000,9808
310M400US19500,"Decatur, IL Metro Area",72883,1724,1724,5821,25345,18056,6410,10218,5309,65338,15527,81660,17609,149,1226,468,2459
310M400US20740,"Eau Claire, WI Metro Area",110707,2879,2879,4124,33399,22155,17945,20400,9805,103704,30205,157055,1267,182,5609,174,3844
310M400US21020,"Elizabeth City, NC Micro Area",46622,2413,2413,3899,13942,10359,5777,6269,3963,40310,10232,N,N,N,N,N,2936
310M400US23420,"Fresno, CA Metro Area",614887,83924,83924,59509,138951,141465,57116,88479,45443,471454,133922,643787,45504,15894,103204,139153,531677
310M400US24940,"Greenwood, SC Micro Area",65228,3200,3200,7699,21972,10383,7751,9599,4624,54329,14223,61887,30898,0,467,896,4879
310M400US25540,"Hartford-West Hartford-East Hartford, CT Metro Area",842589,28992,28992,42341,219913,139484,73872,186187,151800,771256,337987,907869,139766,2517,62805,52443,183827
310M400US25620,"Hattiesburg, MS Metro Area",93567,5238,5238,7826,22001,20184,8213,18967,11138,80503,30105,101054,43553,414,1452,324,4608
310M400US27140,"Jackson, MS Metro Area",387599,13237,13237,27272,96041,86405,38423,76016,50205,347090,126221,277066,289986,1013,6356,3687,14006
310M400US27600,"Jefferson, GA Micro Area",47292,2073,2073,3956,15192,9866,5034,6846,4325,41263,11171,61209,4893,19,1062,1415,5731
310M400US29940,"Lawrence, KS Metro Area",71392,630,630,1763,10665,13527,4690,19217,20900,68999,40117,98730,5261,4196,6983,1295,7739
310M400US32780,"Medford, OR Metro Area",157929,4997,4997,11413,37796,45561,13845,27581,16736,141519,44317,200335,2167,2877,3567,2723,29042
310M400US33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1073519,30991,30991,59912,287017,214398,94651,242429,144121,982616,386550,1132203,258372,6184,61615,69832,171951
310M400US37020,"Owosso, MI Micro Area",48006,977,977,3623,15549,13854,5187,5494,3322,43406,8816,65441,644,60,119,500,2013
310M400US38220,"Pine Bluff, AR Metro Area",62448,2232,2232,4791,27531,14193,3486,6781,3434,55425,10215,43430,44582,319,659,805,2697
310M400US43740,"Somerset, PA Micro Area",55804,1577,1577,4164,28026,8621,4657,5736,3023,50063,8759,70202,1944,39,200,362,1147
310M400US10420,"Akron, OH Metro Area",488511,10958,10958,27186,144629,104731,38842,99244,62921,450367,162165,570663,84683,1337,23481,4663,15287
310M400US14020,"Bloomington, IN Metro Area",98957,1721,1721,5254,23361,18012,8426,21648,20535,91982,42183,146145,4405,800,10446,917,5178
310M400US16060,"Carbondale-Marion, IL Metro Area",82951,2869,2869,4182,23537,20156,8994,11583,11630,75900,23213,103458,10712,435,3432,2448,4442
310M400US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",352902,21841,21841,24750,101894,70098,22857,67370,44092,306311,111462,459090,13905,8459,17827,30035,91095
310M400US24780,"Greenville, NC Metro Area",111171,4352,4352,9484,26425,23045,12381,23555,11929,97335,35484,103416,62463,967,3697,5354,11419
310M400US25840,"Hermiston-Pendleton, OR Micro Area",57129,5819,5819,5050,16979,13615,5569,6784,3313,46260,10097,77018,798,2812,1122,4575,25813
310M400US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",4507266,393800,393800,341825,1045481,923075,312734,948842,541509,3771641,1490351,4463287,1219918,29224,552614,559055,2632586
310M400US31700,"Manchester-Nashua, NH Metro Area",293905,9541,9541,12936,76532,54563,27010,70785,42538,271428,113323,366558,13824,622,17910,4888,29202
310M400US31740,"Manhattan, KS Metro Area",51924,671,671,2122,10623,11596,3601,13369,9942,49131,23311,84205,5031,230,3974,628,7501
310M400US32300,"Martinsville, VA Micro Area",47747,4436,4436,6621,15999,9193,4741,4708,2049,36690,6757,N,N,N,N,N,1771
310M400US35420,"New Philadelphia-Dover, OH Micro Area",63675,3662,3662,4966,27566,11015,4509,6835,5122,55047,11957,N,N,N,N,N,1406
310M400US36020,"Oak Harbor, WA Micro Area",62374,960,960,1883,12459,17795,7936,12274,9067,59531,21341,71787,1717,379,3551,1283,6859
310M400US36260,"Ogden-Clearfield, UT Metro Area",405950,7786,7786,20304,102127,106155,39754,89851,39973,377860,129824,615026,8969,3747,9749,13485,88821
310M400US36860,"Ottawa-Peru, IL Micro Area",105703,2778,2778,8896,38935,24764,11528,13091,5711,94029,18802,136936,4030,64,1317,2755,14353
310M400US40740,"Roswell, NM Micro Area",42081,5393,5393,4373,10592,11818,3129,4311,2465,32315,6776,54650,1854,640,467,5432,37003
310M400US41500,"Salinas, CA Metro Area",277909,50347,50347,26328,58339,50166,23669,40932,28128,201234,69060,205303,11753,6540,25748,167885,257572
310M400US41980,"San Juan-Carolina-Caguas, PR Metro Area",1456001,191372,191372,104802,388409,191318,160952,289486,129662,1159827,419148,1323132,309100,3181,3906,268696,2000535
310M400US42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",190079,8841,8841,8101,37705,49355,20086,41426,24565,173137,65991,248227,5123,1731,10265,6756,64774
310M400US43320,"Show Low, AZ Micro Area",72071,4164,4164,7592,22579,21967,5490,5934,4345,60315,10279,53702,892,49902,636,2787,12649
310M400US44940,"Sumter, SC Metro Area",70939,2878,2878,7547,20687,17592,7956,9148,5131,60514,14279,48223,52663,0,1588,767,1768
310M400US47380,"Waco, TX Metro Area",166657,9294,9294,15774,45774,37997,17840,25860,14118,141589,39978,215378,40010,871,4634,4286,70040
310M400US49300,"Wooster, OH Micro Area",76712,4882,4882,4790,30648,14751,4047,10630,6964,67040,17594,110011,3167,91,241,819,2421
310M400US49740,"Yuma, AZ Metro Area",135113,15827,15827,17192,36638,31938,10795,15554,7169,102094,22723,185580,5942,2428,3254,8750,136425
310M400US11700,"Asheville, NC Metro Area",339843,9601,9601,22121,82568,68502,34156,75866,47029,308121,122895,415603,21235,1684,4940,6450,32573
310M400US18580,"Corpus Christi, TX Metro Area",298400,22501,22501,29540,86878,72767,23889,40928,21897,246359,62825,412292,15022,1243,8639,9257,276687
310M400US21060,"Elizabethtown-Fort Knox, KY Metro Area",101451,3267,3267,7392,33535,25412,12420,10498,8927,90792,19425,125132,14557,945,3017,2762,7554
310M400US22180,"Fayetteville, NC Metro Area",242623,6543,6543,16237,62159,68609,26401,40987,21687,219843,62674,188203,142330,8527,9341,14384,46880
310M400US23580,"Gainesville, GA Metro Area",132465,16175,16175,12033,37306,26924,7969,20532,11526,104257,32058,174232,13415,576,3392,5217,58589
310M400US25060,"Gulfport-Biloxi-Pascagoula, MS Metro Area",269122,8561,8561,18253,76848,69083,33357,39427,23593,242308,63020,281260,85475,808,9046,7567,23364
310M400US32220,"Marshall, TX Micro Area",42624,2434,2434,3693,15231,9649,3104,6047,2466,36497,8513,N,N,N,N,N,9047
310M400US32940,"Meridian, MS Micro Area",69557,3277,3277,6458,20291,17718,10762,6949,4102,59822,11051,54465,47591,852,698,223,1673
310M400US34060,"Morgantown, WV Metro Area",91251,1460,1460,4958,30041,14567,5487,17104,17634,84833,34738,125901,5845,188,3896,368,3028
310M400US34780,"Muskogee, OK Micro Area",45532,1305,1305,4519,16663,8762,4371,6856,3056,39708,9912,38846,7212,12314,217,2842,4308
310M400US35100,"New Bern, NC Metro Area",85241,2262,2262,7111,24425,22111,8580,13151,7601,75868,20752,87982,27434,293,2594,1591,8410
310M400US35300,"New Haven-Milford, CT Metro Area",598947,24241,24241,33481,189357,99387,42491,110431,99559,541225,209990,624693,120459,2541,35199,49092,159804
310M400US37460,"Panama City, FL Metro Area",142288,4894,4894,9024,47708,33484,15001,21070,11107,128370,32177,161351,22432,877,3867,5373,12841
310M400US39140,"Prescott, AZ Metro Area",178575,3887,3887,14625,44037,52055,16874,29024,18073,160063,47097,209300,1876,2296,2581,7256,34046
310M400US41660,"San Angelo, TX Metro Area",76521,3441,3441,5323,25526,18471,5282,13197,5281,67757,18478,106378,4564,534,1917,3823,48103
310M400US41780,"Sandusky, OH Micro Area",53992,1708,1708,3303,17962,12687,6195,7459,4678,48981,12137,63801,7328,723,46,833,3408
310M400US45820,"Topeka, KS Metro Area",158055,5140,5140,8055,52062,37661,10441,29521,15175,144860,44696,197382,15384,3522,2808,4139,24173
310M400US49700,"Yuba City, CA Metro Area",113305,11301,11301,12275,24733,32234,12338,13485,6939,89729,20424,126621,4133,2401,19552,7479,52954
310M400US16300,"Cedar Rapids, IA Metro Area",185730,3732,3732,7872,53238,39019,23362,42013,16494,174126,58507,242266,14696,459,6020,1383,8429
310M400US18260,"Cookeville, TN Micro Area",74170,4547,4547,4386,30837,13922,4234,8726,7518,65237,16244,104046,1924,440,1031,2762,6497
