GEO_ID,Area Name_x,Total_Population over 25 years old,Less than 9th Grade,9th to 12th (no diploma),High School Diploma,Some College (no degree),Associate Degree,Bachelor Degree,Graduate/Proffesional Degree,High School Graduate or Higher,Bachelor Degree or Higher,White,Black/African American,American Indian & Alaska Native,Asian,Some other race,Hispanic/Latino
id,Geographic Area Name,Estimate!!Total!!Population 25 years and over,Estimate!!Total!!Population 25 years and over!!Less than 9th grade,"Estimate!!Total!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!Total!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!Total!!Population 25 years and over!!Some college, no degree",Estimate!!Total!!Population 25 years and over!!Associate's degree,Estimate!!Total!!Population 25 years and over!!Bachelor's degree,Estimate!!Total!!Population 25 years and over!!Graduate or professional degree,Estimate!!Total!!Population 25 years and over!!High school graduate or higher,Estimate!!Total!!Population 25 years and over!!Bachelor's degree or higher,Estimate!!RACE!!Total population!!One race!!White,Estimate!!RACE!!Total population!!One race!!Black or African American,Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,Estimate!!RACE!!Total population!!One race!!Asian,Estimate!!RACE!!Total population!!One race!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)
0400000US02,Alaska,485353,12023,20421,137293,129250,39938,89635,56793,452909,146428,474555,25197,111371,46381,9780,53069
0400000US23,Maine,983382,25361,43100,309259,200338,95274,197489,112561,914921,310050,1261453,18954,8566,15683,3264,22411
0400000US37,North Carolina,7102144,305097,529783,1802360,1497087,701016,1454678,812123,6267264,2266801,7098569,2222533,120845,306682,326630,995529
0400000US29,Missouri,4182787,119915,278462,1270247,937269,341000,754906,480988,3784410,1235894,5035197,704327,27705,121417,56557,253474
0400000US42,Pennsylvania,8994627,279306,532792,3113998,1432404,773645,1723226,1139256,8182529,2862482,10256084,1428406,21418,455027,307572,974763
0400000US26,Michigan,6869846,189891,422533,1972855,1594947,657727,1239251,792642,6257422,2031893,7825285,1376751,53012,325828,118467,517381
0400000US31,Nebraska,1266440,47660,60686,326400,283318,137646,269675,141055,1158094,410730,1666990,91221,18555,45779,46473,214483
0400000US41,Oregon,2952380,106364,173561,655811,744593,269508,621190,381353,2672455,1002543,3514983,82046,49051,190680,137973,556397
0400000US56,Wyoming,393136,7237,19072,113351,103804,44089,66449,39134,366827,105583,528453,3667,16185,5807,8798,57895
0400000US06,California,26815644,2396226,1958791,5559362,5589646,2140543,5704852,3466224,22460627,9171076,23535388,2283850,302792,5821585,5453229,15540142
0400000US28,Mississippi,1977283,100599,187996,589363,440256,200375,284701,173993,1688688,458694,1735455,1135599,13234,26142,29778,87126
0400000US09,Connecticut,2493396,97719,128535,669967,413974,195971,544028,443202,2267142,987230,2688136,391552,9507,165855,195208,589810
0400000US48,Texas,18477097,1478739,1485230,4627856,3949496,1334999,3627047,1973730,15513128,5600777,21099066,3527027,149997,1430857,1709445,11368844
